,St.1,St.2,St.3,St.4,St.5,St.6,St.7,St.8,St.9,St.10,St.11,St.12,St.13,St.14,St.15,St.16,St.17,RS1
St.1,0,1885,9397,19409,25961,26355,26776,30649,30735,31018,31046,39424,39575,39714,40300,40314,40329,1481
St.2,1885,0,7512,17524,24076,24470,24891,28764,28849,29133,29161,37539,37690,37829,38414,38429,38444,2115
St.3,9397,7512,0,10013,16564,16958,17380,21252,21338,21621,21649,30028,30178,30317,30903,30917,30932,9626
St.4,19409,17524,10013,0,6557,6952,7373,11246,11331,11614,11643,20021,20171,20310,20896,20910,20926,19639
St.5,25961,24076,16564,6557,0,405,826,4699,4784,5068,5096,13474,13625,13764,14349,14364,14379,26190
St.6,26355,24470,16958,6952,405,0,421,4294,4379,4663,4691,13069,13220,13359,13944,13959,13974,26585
St.7,26776,24891,17380,7373,826,421,0,3880,3965,4249,4277,12655,12806,12944,13530,13544,13560,27006
St.8,30649,28764,21252,11246,4699,4294,3880,0,584,939,1155,8775,8926,9065,9650,9665,9680,30879
St.9,30735,28849,21338,11331,4784,4379,3965,584,0,482,655,8793,8944,9082,9668,9682,9698,30964
St.10,31018,29133,21621,11614,5068,4663,4249,939,482,0,239,8656,8806,8945,9531,9545,9560,31247
St.11,31046,29161,21649,11643,5096,4691,4277,1155,655,239,0,8720,8871,9010,9596,9610,9625,31275
St.12,39424,37539,30028,20021,13474,13069,12655,8775,8793,8656,8720,0,154,304,889,904,919,39654
St.13,39575,37690,30178,20171,13625,13220,12806,8926,8944,8806,8871,154,0,149,745,749,765,39804
St.14,39714,37829,30317,20310,13764,13359,12944,9065,9082,8945,9010,304,149,0,614,609,634,39943
St.15,40300,38414,30903,20896,14349,13944,13530,9650,9668,9531,9596,889,745,614,0,85,60,40529
St.16,40314,38429,30917,20910,14364,13959,13544,9665,9682,9545,9610,904,749,609,85,0,65,40543
St.17,40329,38444,30932,20926,14379,13974,13560,9680,9698,9560,9625,919,765,634,60,65,0,40558
RS1,1481,2115,9626,19639,26190,26585,27006,30879,30964,31247,31275,39654,39804,39943,40529,40543,40558,0
