Release.date,Release.site,Serial.nr,Signal,Group,Total.Length.mm,Mass.g
2018-04-06 15:00,RS1,18104450,4450,A,154,29.3
2018-04-06 15:00,RS1,18104451,4451,A,151,29.9
2018-04-06 15:00,RS1,18104452,4452,A,149,29.2
2018-04-06 15:00,RS1,18104453,4453,A,147,28.5
2018-04-06 15:00,RS1,18104454,4454,A,168,37.2
2018-04-06 15:00,RS1,18104456,4456,A,153,31.1
2018-04-06 15:00,RS1,18104457,4457,A,148,28.1
2018-04-06 15:00,RS1,18104459,4459,A,149,29.1
2018-04-06 15:00,RS1,18104462,4462,A,153,31.9
2018-04-06 15:00,RS1,18104464,4464,A,149,29.8
2018-04-06 15:00,RS1,18104465,4465,A,151,31.5
2018-04-06 15:00,RS1,18104466,4466,A,148,30.2
2018-04-06 15:00,RS1,18104469,4469,A,154,31.6
2018-04-06 15:00,RS1,18104470,4470,A,156,32.6
2018-04-06 15:00,RS1,18104472,4472,A,145,25.9
2018-04-06 15:00,RS1,18104473,4473,A,148,27.1
2018-04-06 15:00,RS1,18104474,4474,A,160,36
2018-04-06 15:00,RS1,18104477,4477,A,164,32.2
2018-04-06 15:00,RS1,18104478,4478,A,147,36.6
2018-04-06 15:00,RS1,18104480,4480,A,148,32.4
2018-04-06 15:00,RS1,18104481,4481,A,165,28.6
2018-04-06 15:00,RS1,18104484,4484,A,149,39.7
2018-04-06 15:00,RS1,18104486,4486,A,149,28.3
2018-04-06 15:00,RS1,18104488,4488,A,149,31.9
2018-04-06 15:00,RS1,18104490,4490,A,150,35.6
2018-04-06 15:00,RS1,18104492,4492,A,151,36.5
2018-04-06 15:00,RS1,18104494,4494,A,146,35.1
2018-04-06 15:00,RS1,18104496,4496,A,152,28
2018-04-06 15:00,RS1,18104498,4498,A,151,32.7
2018-04-06 15:00,RS1,18104499,4499,A,148,30
2018-04-06 15:00,RS1,18104502,4502,B,155,30.8
2018-04-06 15:00,RS1,18104503,4503,B,156,34.2
2018-04-06 15:00,RS1,18104505,4505,B,157,34.1
2018-04-06 15:00,RS1,18104508,4508,B,153,30.8
2018-04-06 15:00,RS1,18104509,4509,B,150,29.1
2018-04-06 15:00,RS1,18104510,4510,B,156,33.9
2018-04-06 15:00,RS1,18104511,4511,B,153,32.7
2018-04-06 15:00,RS1,18104512,4512,B,152,28
2018-04-06 15:00,RS1,18104513,4513,B,155,32
2018-04-06 15:00,RS1,18104514,4514,B,156,36
2018-04-06 15:00,RS1,18104515,4515,B,162,37.5
2018-04-06 15:00,RS1,18104516,4516,B,157,35.1
2018-04-06 15:00,RS1,18104517,4517,B,150,30.1
2018-04-06 15:00,RS1,18104518,4518,B,151,30.3
2018-04-06 15:00,RS1,18104519,4519,B,154,34.6
2018-04-06 15:00,RS1,18104520,4520,B,152,32.5
2018-04-06 15:00,RS1,18104521,4521,B,161,36.8
2018-04-06 15:00,RS1,18104522,4522,B,158,35.9
2018-04-06 15:00,RS1,18104524,4524,B,164,38.3
2018-04-06 15:00,RS1,18104526,4526,B,160,36.4
2018-04-06 15:00,RS1,18104527,4527,B,154,32.8
2018-04-06 15:00,RS1,18104529,4529,B,158,36.1
2018-04-06 15:00,RS1,18104532,4532,B,155,35.2
2018-04-06 15:00,RS1,18104534,4534,B,165,42
2018-04-06 15:00,RS1,18104536,4536,B,150,32.4
2018-04-06 15:00,RS1,18104541,4541,B,164,39.5
2018-04-06 15:00,RS1,18104543,4543,B,160,38.8
2018-04-06 15:00,RS1,18104545,4545,B,150,31
2018-04-06 15:00,RS1,18104547,4547,B,157,35.9
2018-04-06 15:00,RS1,18104549,4549,B,154,35.5
