Receiver,Station.name,Start,Stop
132907,Station -1,2018-03-15 12:00:00,2018-06-01 12:00:00
132908,Station 1,2018-03-15 12:00:00,2018-06-01 12:00:00
132918,Station 2,2018-03-15 12:00:00,2018-06-01 12:00:00
132917,Station 3,2018-03-15 12:00:00,2018-06-01 12:00:00
132916,Station 4,2018-03-15 12:00:00,2018-06-01 12:00:00
132914,Station 5,2018-03-15 12:00:00,2018-06-01 12:00:00
132915,Station 6,2018-03-15 12:00:00,2018-06-01 12:00:00
132909,Station 7,2018-03-15 12:00:00,2018-06-01 12:00:00
133222,Station 8,2018-03-15 12:00:00,2018-06-01 12:00:00
133224,Station 9,2018-03-15 12:00:00,2018-06-01 12:00:00
133221,Station 10,2018-03-15 12:00:00,2018-06-01 12:00:00
133220,Station 11,2018-03-15 12:00:00,2018-06-01 12:00:00
133209,Station 12,2018-03-15 12:00:00,2018-06-01 12:00:00
133205,Station 13,2018-03-15 12:00:00,2018-06-01 12:00:00
133210,Station 14,2018-03-15 12:00:00,2018-06-01 12:00:00
133215,Station 15,2018-03-15 12:00:00,2018-06-01 12:00:00
133206,Station 16,2018-03-15 12:00:00,2018-06-01 12:00:00
