Station.name,Latitude,Longitude,x,y,Array,Section,Type
Station -1,56.3547444444445,8.62901944444445,477075.2,6245624.6,A0,River,Hydrophone
Station 1,56.3567222222222,8.60309722222222,475474.6,6245853.7,A1,River,Hydrophone
Station 2,56.3650527777778,8.51009444444444,469734.4,6246817.9,A2,River,Hydrophone
Station 3,56.3497638888889,8.38568333333333,462033.4,6245177.9,A3,River,Hydrophone
Station 4,56.3289444444444,8.30913333333333,457279.2,6242905.6,A4,River,Hydrophone
Station 5,56.3257611111111,8.30644444444445,457109.4,6242552.9,A5,River,Hydrophone
Station 6,56.3226694444445,8.30326666666667,456909.4,6242210.8,A6,River,Hydrophone
Station 7,56.3286527777778,8.249125,453568.3,6242911.9,A7,Fjord,Hydrophone
Station 8,56.3261027777778,8.24644722222222,453399.6,6242629.9,A7,Fjord,Hydrophone
Station 9,56.3238833333333,8.24079722222222,453047.5,6242386.8,A7,Fjord,Hydrophone
Station 10,56.3219166666667,8.23967222222222,452975.5,6242168.6,A7,Fjord,Hydrophone
Station 11,56.3717333333333,8.13234166666667,446407.4,6247791.6,A8,Fjord,Hydrophone
Station 12,56.3722138888889,8.13001666666667,446264.5,6247846.9,A8,Fjord,Hydrophone
Station 13,56.3725,8.12776111111111,446125.6,6247880.6,A8,Fjord,Hydrophone
Station 14,56.3719888888889,8.11843888888889,445549.1,6247831,A9,Sea,Hydrophone
Station 15,56.3725611111111,8.11816944444445,445533.2,6247894.9,A9,Sea,Hydrophone
Station 16,56.3720027777778,8.11765833333333,445500.9,6247833.2,A9,Sea,Hydrophone
RS1,56.349,8.6204,476539,6244988.1,A1,,Release
